Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
BR;1;Brasil;75866854;Hectares;35930334;Hectares
MU;1100015;Alta Floresta D'Oeste (RO);11410;Hectares;450;Hectares
MU;1100023;Ariquemes (RO);10344;Hectares;7893;Hectares
MU;1100031;Cabixi (RO);46306;Hectares;24630;Hectares
MU;1100049;Cacoal (RO);4607;Hectares;1000;Hectares
MU;1100056;Cerejeiras (RO);67181;Hectares;35190;Hectares
MU;1100064;Colorado do Oeste (RO);5034;Hectares;3250;Hectares
MU;1100072;Corumbiara (RO);68855;Hectares;40500;Hectares
MU;1100080;Costa Marques (RO);369;Hectares;-;Hectares
MU;1100098;Espigão D'Oeste (RO);3773;Hectares;900;Hectares
MU;1100106;Guajará-Mirim (RO);647;Hectares;-;Hectares
MU;1100114;Jaru (RO);1187;Hectares;-;Hectares
MU;1100122;Ji-Paraná (RO);271;Hectares;-;Hectares
MU;1100130;Machadinho D'Oeste (RO);10748;Hectares;9300;Hectares
MU;1100148;Nova Brasilândia D'Oeste (RO);1228;Hectares;300;Hectares
MU;1100155;Ouro Preto do Oeste (RO);292;Hectares;-;Hectares
MU;1100189;Pimenta Bueno (RO);1756;Hectares;568;Hectares
MU;1100205;Porto Velho (RO);50742;Hectares;10650;Hectares
MU;1100254;Presidente Médici (RO);597;Hectares;-;Hectares
MU;1100262;Rio Crespo (RO);25336;Hectares;21850;Hectares
MU;1100288;Rolim de Moura (RO);4141;Hectares;2533;Hectares
MU;1100296;Santa Luzia D'Oeste (RO);2829;Hectares;400;Hectares
MU;1100304;Vilhena (RO);77277;Hectares;41652;Hectares
MU;1100320;São Miguel do Guaporé (RO);22522;Hectares;11253;Hectares
MU;1100338;Nova Mamoré (RO);4313;Hectares;300;Hectares
MU;1100346;Alvorada D'Oeste (RO);1033;Hectares;370;Hectares
MU;1100379;Alto Alegre dos Parecis (RO);19350;Hectares;2981;Hectares
MU;1100403;Alto Paraíso (RO);29050;Hectares;24112;Hectares
MU;1100452;Buritis (RO);905;Hectares;-;Hectares
MU;1100502;Novo Horizonte do Oeste (RO);2523;Hectares;1500;Hectares
MU;1100601;Cacaulândia (RO);489;Hectares;-;Hectares
MU;1100700;Campo Novo de Rondônia (RO);1373;Hectares;174;Hectares
MU;1100809;Candeias do Jamari (RO);10021;Hectares;6000;Hectares
MU;1100908;Castanheiras (RO);4149;Hectares;2405;Hectares
MU;1100924;Chupinguaia (RO);54060;Hectares;33824;Hectares
MU;1100940;Cujubim (RO);19150;Hectares;16414;Hectares
MU;1101005;Governador Jorge Teixeira (RO);701;Hectares;-;Hectares
MU;1101104;Itapuã do Oeste (RO);4793;Hectares;2793;Hectares
MU;1101203;Ministro Andreazza (RO);982;Hectares;-;Hectares
MU;1101302;Mirante da Serra (RO);2072;Hectares;-;Hectares
MU;1101401;Monte Negro (RO);558;Hectares;-;Hectares
MU;1101435;Nova União (RO);453;Hectares;-;Hectares
MU;1101450;Parecis (RO);2452;Hectares;1180;Hectares
MU;1101468;Pimenteiras do Oeste (RO);64381;Hectares;34352;Hectares
MU;1101476;Primavera de Rondônia (RO);334;Hectares;-;Hectares
MU;1101484;São Felipe D'Oeste (RO);1461;Hectares;240;Hectares
MU;1101492;São Francisco do Guaporé (RO);4163;Hectares;1200;Hectares
MU;1101500;Seringueiras (RO);5289;Hectares;3337;Hectares
MU;1101559;Teixeirópolis (RO);221;Hectares;-;Hectares
MU;1101609;Theobroma (RO);2571;Hectares;680;Hectares
MU;1101708;Urupá (RO);347;Hectares;-;Hectares
MU;1101757;Vale do Anari (RO);2289;Hectares;370;Hectares
MU;1101807;Vale do Paraíso (RO);102;Hectares;-;Hectares
MU;1200013;Acrelândia (AC);1845;Hectares;-;Hectares
MU;1200054;Assis Brasil (AC);1414;Hectares;-;Hectares
MU;1200104;Brasiléia (AC);2974;Hectares;-;Hectares
MU;1200138;Bujari (AC);2739;Hectares;-;Hectares
MU;1200179;Capixaba (AC);3866;Hectares;500;Hectares
MU;1200203;Cruzeiro do Sul (AC);4164;Hectares;-;Hectares
MU;1200252;Epitaciolândia (AC);2541;Hectares;-;Hectares
MU;1200302;Feijó (AC);6253;Hectares;-;Hectares
MU;1200328;Jordão (AC);1139;Hectares;-;Hectares
MU;1200336;Mâncio Lima (AC);3276;Hectares;-;Hectares
MU;1200344;Manoel Urbano (AC);1246;Hectares;-;Hectares
MU;1200351;Marechal Thaumaturgo (AC);3568;Hectares;-;Hectares
MU;1200385;Plácido de Castro (AC);2444;Hectares;520;Hectares
MU;1200393;Porto Walter (AC);1267;Hectares;-;Hectares
MU;1200401;Rio Branco (AC);5304;Hectares;640;Hectares
MU;1200427;Rodrigues Alves (AC);3341;Hectares;-;Hectares
MU;1200435;Santa Rosa do Purus (AC);703;Hectares;-;Hectares
MU;1200450;Senador Guiomard (AC);3368;Hectares;-;Hectares
MU;1200500;Sena Madureira (AC);5034;Hectares;-;Hectares
MU;1200609;Tarauacá (AC);6205;Hectares;-;Hectares
MU;1200708;Xapuri (AC);3188;Hectares;-;Hectares
MU;1200807;Porto Acre (AC);3351;Hectares;-;Hectares
MU;1300029;Alvarães (AM);5310;Hectares;-;Hectares
MU;1300060;Amaturá (AM);277;Hectares;-;Hectares
MU;1300086;Anamã (AM);410;Hectares;-;Hectares
MU;1300102;Anori (AM);495;Hectares;-;Hectares
MU;1300144;Apuí (AM);1263;Hectares;-;Hectares
MU;1300201;Atalaia do Norte (AM);340;Hectares;-;Hectares
MU;1300300;Autazes (AM);5068;Hectares;-;Hectares
MU;1300409;Barcelos (AM);62;Hectares;-;Hectares
MU;1300508;Barreirinha (AM);13;Hectares;-;Hectares
MU;1300607;Benjamin Constant (AM);256;Hectares;-;Hectares
MU;1300631;Beruri (AM);135;Hectares;-;Hectares
MU;1300680;Boa Vista do Ramos (AM);76;Hectares;-;Hectares
MU;1300706;Boca do Acre (AM);1001;Hectares;-;Hectares
MU;1300805;Borba (AM);1324;Hectares;-;Hectares
MU;1300839;Caapiranga (AM);331;Hectares;-;Hectares
MU;1300904;Canutama (AM);159;Hectares;-;Hectares
MU;1301001;Carauari (AM);1010;Hectares;-;Hectares
MU;1301100;Careiro (AM);900;Hectares;-;Hectares
MU;1301159;Careiro da Várzea (AM);772;Hectares;-;Hectares
MU;1301209;Coari (AM);1198;Hectares;-;Hectares
MU;1301308;Codajás (AM);935;Hectares;-;Hectares
MU;1301407;Eirunepé (AM);1721;Hectares;-;Hectares
MU;1301506;Envira (AM);2028;Hectares;-;Hectares
MU;1301605;Fonte Boa (AM);186;Hectares;-;Hectares
MU;1301654;Guajará (AM);654;Hectares;-;Hectares
MU;1301704;Humaitá (AM);6480;Hectares;2500;Hectares
MU;1301803;Ipixuna (AM);397;Hectares;-;Hectares
MU;1301852;Iranduba (AM);290;Hectares;-;Hectares
MU;1301902;Itacoatiara (AM);3531;Hectares;-;Hectares
MU;1301951;Itamarati (AM);217;Hectares;-;Hectares
MU;1302009;Itapiranga (AM);620;Hectares;-;Hectares
MU;1302108;Japurá (AM);335;Hectares;-;Hectares
MU;1302207;Juruá (AM);115;Hectares;-;Hectares
MU;1302306;Jutaí (AM);996;Hectares;-;Hectares
MU;1302405;Lábrea (AM);827;Hectares;-;Hectares
MU;1302504;Manacapuru (AM);15880;Hectares;-;Hectares
